Rufus,priest:4255,17366,22616,31889,49634,58847,78112,86631,94924,106955,125372,130725
Ione Wolfe,warrior:2827,20584,24196,31014,42786,51947,56340,66809,77376,92800,100107,110121
Hillary Curl,hunter:9139,23198,23198,30878,48804,66915,72755,81466,90198,110023,125034,143881
Juli Barnhill,rogue:8021,24439,32877,41020,51543,62857,67854,67854,79480,85470,101411,117135
Tashia Bowen,mage:9788,28173,35005,50231,64529,67462,74808,93845,93845,102517,102517,102517
Marguerita Mciver,hunter:7219,26691,35209,41363,58614,66777,73837,73837,73837,90521,90521,103345
Sharie Schall,hunter:5113,22957,39493,42282,61827,81665,91657,102451,105896,114475,118806,138348
Paris Curington,hunter:6885,12265,19149,34487,37696,48815,63860,78423,88557,100060,115978,130595
Ashely Faye,rogue:5320,14323,31643,50099,60679,76589,95675,100761,119726,123569,135706,140527
Elvia Dubreythankfulautomatic,hunter:8268,21518,39274,56694,72584,72584,89397,104884,113501,128096,143680,161915
inspectport,priest:5449,14110,14110,29037,39467,42163,42163,53487,66250,69947,74014,92922
equinoxdigg,hunter:7288,17240,23293,39715,53964,59696,73568,89889,102424,107083,115043,120474
inertsartorial,priest:8672,19530,22565,32471,37031,49551,53904,59662,64758,81166,84160,98653
fellradial,warrior:8560,15981,34864,54509,60920,64107,72932,85281,96394,100635,120135,123826
rhyolitethroat,hunter:2707,9924,22916,30545,46840,62648,68933,78912,88973,101412,104256,110253
recyclejoast,warrior:7696,15601,23742,40267,45867,53803,57286,74332,90076,95071,106362,114159
chubbysourdough,hunter:6637,24390,32596,52052,63382,73236,78310,84628,84628,92203,99497,118482
palmears,warrior:8739,14848,25214,44515,56283,56283,72899,84603,101978,113243,133166,150844
shotgunpeacock,warrior:5588,12282,16466,20584,38594,52424,65736,77806,88889,96187,104045,104045
basteglean,mage:6973,10257,26344,33112,46312,46312,52749,61420,61420,67040,70334,83934
gulpraisin,priest:8779,12419,26387,38163,51997,70939,78281,95220,95220,95220,95220,97774
meetingbirst,mage:7565,20184,38575,54698,65952,70132,87401,92530,97808,103070,114389,128631
networktarragon,warrior:5899,10056,26792,30105,47752,58983,70070,89215,96388,102768,115013,119629
promptmones,mage:5413,9494,19467,22669,29870,40248,46517,65946,69100,74667,79538,93630
physicistimported,rogue:6257,9091,26804,32792,39900,54196,71565,77421,83834,103453,111695,114988
baffinglass,mage:3806,3806,17556,36523,51874,64732,71774,83282,97459,105648,114051,117857
hydroxidewegs,priest:7269,17502,28207,40937,43826,53241,73190,88181,101651,116460,119008,127991
loadfaded,mage:2667,16588,27777,44352,61072,70824,74691,84557,100232,104398,109254,129079
integersolder,rogue:7831,7831,26915,30013,30013,44094,60024,69485,72104,76975,91530,110351
worstedwoman,warrior:8269,24566,28300,35557,38540,49903,65865,76004,79427,86044,93013,102817
brillogrowth,hunter:5524,10719,26581,30802,44905,62628,82534,95880,95880,112678,116487,128957
chapteridentical,warrior:8228,18609,24969,44487,56128,56128,72767,82959,93862,111427,122057,132879
tykegeodesic,warrior:4236,18814,27373,41629,44508,57861,62990,77016,86135,93709,107668,114755
learningsmace,hunter:2569,15350,31414,36674,39214,57501,73361,93004,109283,118342,118342,136629
salamicustomers,hunter:5122,11353,13949,27363,37637,51133,62906,71308,87096,102999,118477,124978
halreckless,warrior:3158,14789,23883,30614,39883,45025,45025,58511,64422,81005,86193,90507
carsour,hunter:3008,20965,29619,38680,43693,60543,75814,85169,105139,116111,123731,134078
rocksrheology,priest:4003,17776,29017,47187,60093,73796,90701,97285,112921,119137,126268,144714
vanadiumshuffle,priest:5464,24542,28805,39186,39186,55418,70419,75880,91568,107511,107511,126599
odiferousbasket,rogue:8689,8689,24089,40953,54493,54493,62389,73388,79853,87949,107819,120471
blazecarnot,warrior:8364,17356,28268,44727,64500,83220,98610,114670,114670,130766,133478,142904
sconesconceited,rogue:9650,12608,19339,22025,36670,48405,64684,67184,71320,90432,103411,119212
restraintroar,priest:6737,20655,32858,36411,54170,74164,93636,99304,112221,112221,115750,125562
plugbyfinger,mage:6859,22406,32419,47018,50806,62797,65458,69330,84300,95867,114857,127826
